User,Item,Rating
User_1,Movie_15,2
User_10,Movie_10,1
User_19,Movie_20,1
User_19,Movie_11,2
User_13,Movie_17,2
User_2,Movie_10,2
User_13,Movie_15,5
User_16,Movie_8,2
User_9,Movie_17,5
User_13,Movie_16,1
User_16,Movie_20,1
User_9,Movie_20,2
User_20,Movie_19,4
User_9,Movie_19,2
User_8,Movie_19,1
User_2,Movie_15,4
User_17,Movie_9,4
User_3,Movie_8,3
User_2,Movie_4,2
User_19,Movie_7,2
User_19,Movie_9,3
User_1,Movie_5,2
User_8,Movie_11,4
User_5,Movie_16,5
User_4,Movie_7,2
User_18,Movie_17,5
User_14,Movie_18,2
User_14,Movie_12,4
User_14,Movie_10,5
User_20,Movie_6,3
User_20,Movie_15,5
User_7,Movie_5,2
User_17,Movie_11,3
User_16,Movie_18,1
User_1,Movie_9,1
User_19,Movie_14,4
User_17,Movie_15,4
User_11,Movie_8,4
User_5,Movie_2,4
User_8,Movie_16,3
User_15,Movie_15,2
User_12,Movie_17,3
User_4,Movie_2,3
User_14,Movie_10,3
User_6,Movie_1,2
User_13,Movie_16,2
User_15,Movie_7,4
User_19,Movie_17,5
User_11,Movie_5,2
User_18,Movie_9,1
User_7,Movie_8,3
User_15,Movie_16,3
User_6,Movie_20,2
User_4,Movie_2,2
User_17,Movie_4,4
User_2,Movie_10,4
User_6,Movie_19,1
User_7,Movie_9,2
User_2,Movie_3,1
User_18,Movie_9,3
User_10,Movie_18,3
User_13,Movie_13,1
User_4,Movie_18,5
User_12,Movie_13,3
User_2,Movie_7,3
User_18,Movie_13,3
User_4,Movie_5,2
User_11,Movie_11,4
User_4,Movie_14,1
User_1,Movie_11,2
User_10,Movie_14,3
User_14,Movie_1,1
User_7,Movie_5,1
User_7,Movie_13,3
User_19,Movie_17,5
User_3,Movie_3,4
User_18,Movie_1,2
User_19,Movie_17,2
User_7,Movie_20,3
User_14,Movie_19,5
User_18,Movie_18,2
User_6,Movie_20,3
User_3,Movie_10,4
User_13,Movie_6,1
User_9,Movie_16,2
User_5,Movie_4,4
User_11,Movie_1,5
User_10,Movie_6,5
User_8,Movie_15,5
User_1,Movie_13,1
User_10,Movie_12,5
User_9,Movie_20,3
User_4,Movie_19,1
User_1,Movie_3,3
User_20,Movie_15,1
User_18,Movie_3,4
User_11,Movie_19,5
User_11,Movie_2,4
User_12,Movie_1,3
User_11,Movie_11,4
